t,failures,unreliability,reliability
1,264,0.0264,0.9736
2,227,0.0491,0.9509
3,209,0.07,0.93
4,197,0.0897,0.9103
5,186,0.1083,0.8917
6,177,0.126,0.874
7,170,0.143,0.857
8,164,0.1594,0.8406
9,158,0.1752,0.8248
10,153,0.1905,0.8095
11,149,0.2054,0.7946
12,145,0.2199,0.7801
13,141,0.234,0.766
14,138,0.2478,0.7522
15,134,0.2612,0.7388
16,131,0.2743,0.7257
17,129,0.2872,0.7128
18,127,0.2999,0.7001
19,125,0.3124,0.6876
20,123,0.3247,0.6753
21,121,0.3368,0.6632
22,120,0.3488,0.6512
23,119,0.3607,0.6393
24,118,0.3725,0.6275
25,117,0.3842,0.6158
26,116,0.3958,0.6042
27,115,0.4073,0.5927
28,115,0.4188,0.5812
29,114,0.4302,0.5698
30,114,0.4416,0.5584
31,114,0.453,0.547
32,114,0.4644,0.5356
33,114,0.4758,0.5242
34,114,0.4872,0.5128
35,114,0.4986,0.5014
36,115,0.5101,0.4899
37,115,0.5216,0.4784
38,115,0.5331,0.4669
39,115,0.5446,0.4554
40,116,0.5562,0.4438
41,116,0.5678,0.4322
42,117,0.5795,0.4205
43,117,0.5912,0.4088
44,117,0.6029,0.3971
45,117,0.6146,0.3854
46,118,0.6264,0.3736
47,118,0.6382,0.3618
48,118,0.65,0.35
49,118,0.6618,0.3382
50,118,0.6736,0.3264
51,118,0.6854,0.3146
52,117,0.6971,0.3029
53,117,0.7088,0.2912
54,116,0.7204,0.2796
55,116,0.732,0.268
56,115,0.7435,0.2565
57,114,0.7549,0.2451
58,112,0.7661,0.2339
59,111,0.7772,0.2228
60,110,0.7882,0.2118
61,108,0.799,0.201
62,106,0.8096,0.1904
63,104,0.82,0.18
64,102,0.8302,0.1698
65,98,0.84,0.16
66,96,0.8496,0.1504
67,93,0.8589,0.1411
68,90,0.8679,0.1321
69,88,0.8767,0.1233
70,85,0.8852,0.1148
71,81,0.8933,0.1067
72,78,0.9011,0.0989
73,75,0.9086,0.0914
74,72,0.9158,0.0842
75,68,0.9226,0.0774
76,65,0.9291,0.0709
77,61,0.9352,0.0648
78,58,0.941,0.059
79,54,0.9464,0.0536
80,51,0.9515,0.0485
81,48,0.9563,0.0437
82,45,0.9608,0.0392
83,41,0.9649,0.0351
84,38,0.9687,0.0313
85,35,0.9722,0.0278
86,31,0.9753,0.0247
87,29,0.9782,0.0218
88,26,0.9808,0.0192
89,24,0.9832,0.0168
90,21,0.9853,0.0147
91,19,0.9872,0.0128
92,17,0.9889,0.0111
93,15,0.9904,0.0096
94,14,0.9918,0.0082
95,12,0.993,0.007
96,11,0.9941,0.0059
97,9,0.995,0.005
98,8,0.9958,0.0042
99,7,0.9965,0.0035
100,6,0.9971,0.0029
101,5,0.9976,0.0024
102,4,0.998,0.002
103,4,0.9984,0.0016
104,3,0.9987,0.0013
105,3,0.999,0.001
106,2,0.9992,0.0008
107,2,0.9994,0.0006
108,1,0.9995,0.0005
109,1,0.9996,0.0004
110,1,0.9997,0.0003
111,1,0.9998,0.0002
112,1,0.9999,1E-04
113,1,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,0,1,0
118,0,1,0
119,0,1,0
120,0,1,0
121,0,1,0
122,0,1,0
123,0,1,0
124,0,1,0
125,0,1,0
126,0,1,0
127,0,1,0
128,0,1,0
129,0,1,0
130,0,1,0
131,0,1,0
132,0,1,0
133,0,1,0
134,0,1,0
135,0,1,0
136,0,1,0
137,0,1,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,1,0
142,0,1,0
143,0,1,0
144,0,1,0
145,0,1,0
146,0,1,0
147,0,1,0
148,0,1,0
149,0,1,0
150,0,1,0
151,0,1,0
152,0,1,0
153,0,1,0
154,0,1,0
155,0,1,0
156,0,1,0
157,0,1,0
158,0,1,0
159,0,1,0
160,0,1,0
161,0,1,0
162,0,1,0
163,0,1,0
164,0,1,0
165,0,1,0
166,0,1,0
167,0,1,0
168,0,1,0
169,0,1,0
170,0,1,0
171,0,1,0
172,0,1,0
173,0,1,0
174,0,1,0
175,0,1,0
176,0,1,0
177,0,1,0
178,0,1,0
179,0,1,0
180,0,1,0
181,0,1,0
182,0,1,0
183,0,1,0
184,0,1,0
185,0,1,0
186,0,1,0
187,0,1,0
188,0,1,0
189,0,1,0
190,0,1,0
191,0,1,0
192,0,1,0
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,0,1,0
201,0,1,0
202,0,1,0
203,0,1,0
204,0,1,0
205,0,1,0
206,0,1,0
207,0,1,0
208,0,1,0
209,0,1,0
210,0,1,0
211,0,1,0
212,0,1,0
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,0,1,0
218,0,1,0
219,0,1,0
220,0,1,0
221,0,1,0
222,0,1,0
223,0,1,0
224,0,1,0
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,0,1,0
233,0,1,0
234,0,1,0
235,0,1,0
236,0,1,0
237,0,1,0
238,0,1,0
239,0,1,0
240,0,1,0
241,0,1,0
242,0,1,0
243,0,1,0
244,0,1,0
245,0,1,0
246,0,1,0
247,0,1,0
248,0,1,0
249,0,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,1,0
254,0,1,0
255,0,1,0
256,0,1,0
257,0,1,0
258,0,1,0
259,0,1,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,0,1,0
265,0,1,0
266,0,1,0
267,0,1,0
268,0,1,0
269,0,1,0
270,0,1,0
271,0,1,0
272,0,1,0
273,0,1,0
274,0,1,0
275,0,1,0
276,0,1,0
277,0,1,0
278,0,1,0
279,0,1,0
280,0,1,0
281,0,1,0
282,0,1,0
283,0,1,0
284,0,1,0
285,0,1,0
286,0,1,0
287,0,1,0
288,0,1,0
289,0,1,0
290,0,1,0
291,0,1,0
292,0,1,0
293,0,1,0
294,0,1,0
295,0,1,0
296,0,1,0
297,0,1,0
298,0,1,0
299,0,1,0
300,0,1,0
301,0,1,0
302,0,1,0
303,0,1,0
304,0,1,0
305,0,1,0
306,0,1,0
307,0,1,0
308,0,1,0
309,0,1,0
310,0,1,0
311,0,1,0
312,0,1,0
313,0,1,0
314,0,1,0
315,0,1,0
316,0,1,0
317,0,1,0
318,0,1,0
319,0,1,0
320,0,1,0
321,0,1,0
322,0,1,0
323,0,1,0
324,0,1,0
325,0,1,0
326,0,1,0
327,0,1,0
328,0,1,0
329,0,1,0
330,0,1,0
331,0,1,0
332,0,1,0
333,0,1,0
334,0,1,0
335,0,1,0
336,0,1,0
337,0,1,0
338,0,1,0
339,0,1,0
340,0,1,0
341,0,1,0
342,0,1,0
343,0,1,0
344,0,1,0
345,0,1,0
346,0,1,0
347,0,1,0
348,0,1,0
349,0,1,0
350,0,1,0
351,0,1,0
352,0,1,0
353,0,1,0
354,0,1,0
355,0,1,0
356,0,1,0
357,0,1,0
358,0,1,0
359,0,1,0
360,0,1,0
361,0,1,0
362,0,1,0
363,0,1,0
364,0,1,0
365,0,1,0
